domain;country;visibility_index
http://nomisma.org/;si;0.0
http://nomisma.org/;sk;0.0
http://nomisma.org/;tr;0.0
http://nomisma.org/;uk;0.0054
http://nomisma.org/;us;0.0
http://open-science.ub.ovgu.de/;at;0.0
http://open-science.ub.ovgu.de/;au;0.0
http://open-science.ub.ovgu.de/;be;0.0
http://open-science.ub.ovgu.de/;bg;0.0
http://open-science.ub.ovgu.de/;br;0.0
http://open-science.ub.ovgu.de/;ca;0.0
http://open-science.ub.ovgu.de/;ch;0.0
http://open-science.ub.ovgu.de/;cz;0.0
http://open-science.ub.ovgu.de/;de;0.0
http://open-science.ub.ovgu.de/;dk;0.0
http://open-science.ub.ovgu.de/;es;0.0
http://open-science.ub.ovgu.de/;fi;0.0
http://open-science.ub.ovgu.de/;fr;0.0
http://open-science.ub.ovgu.de/;gr;0.0
http://open-science.ub.ovgu.de/;hr;0.0
http://open-science.ub.ovgu.de/;hu;0.0
http://open-science.ub.ovgu.de/;ie;0.0
http://open-science.ub.ovgu.de/;it;0.0
http://open-science.ub.ovgu.de/;jp;0.0
http://open-science.ub.ovgu.de/;nl;0.0
http://open-science.ub.ovgu.de/;no;0.0
http://open-science.ub.ovgu.de/;pl;0.0
http://open-science.ub.ovgu.de/;pt;0.0
http://open-science.ub.ovgu.de/;ro;0.0
